english,kabyle
"happy","anammar, azehwani"
"happy to be","amendi, dwet"
"hard","aquran"
"hare","awtul, tamerwalt"
"harmful","amcum, asartay"
"harmony","tanmila"
"harvest","alqwadh, ammad"
"has some","adif"
"hat","arazal, negh iruzal"
"hate","akasan"
"hausa language","tahawsat"
"haussa","ahawsa, ihawsaten"
"hawthorn","idmim"
"hay","asaghur"
"hazardous","agacar"
"He has beaten a boy","Yewwet aqcic"
"head","agayyu, aqerru, ixf"
"health","alzay, tadawsa, tazmart, tidawsiwin"
"healthy","amalzay"
"heard","timesli"
"heart","ul, ulawen"
"hearts","ul, ulawen"
"heat","aghamac, aszghal, ihamu"
"heatwave","smayem"
"heaviness","taszayt"
"heavy","aszayan, sszay"
"hebrew","uwday, uwdayen"
"hebrew language","taâebrit"
"hedge","afrag"
"hedgehog","inisi, insi"
"heel","agerz, igerzan, taqebqabt"
"height","taghwzi, tattayt, tiddi"
"heir","amekkasu, imekkusa"
"hell","ahes, ihessen, irgis, irig, irij, timess"
"hello","amggaz, ass, azul"
"helmet","amsegdal"
"help","talilt, tallalin, tallalt, tamilalt, tellilt, tiwizi"
"her","nettsat"
"herd","taguzdit, tajlibt, taqdhiit"
"here","da dagi"
"heredity","acettul"
"heritage","tigemma, tigemmi"
"hero","asad', asadh, isad'en"
"heroic","amasad'"
"heroism","tasd'a, tasdha, tisdiwin"
"heterogeneous","ayedhszar"
"heuristic","amsuffi"
"hidden","amdul"
"hide-sex","isiffer, isiffren"
"hiding","aserkes, tuffra"
"hierarchy","amyellel, imyellilen"
"hi-fi","amaday afazzan"
"high","aâlayan, afellay"
"high school","tasnawit"
"high school student","asnawan"
"higherner","assigres, issagres, issigris, ssigres, ur issagres"
"highlander","amessedrar, amsedrar, awedrar, awedrar., imesdurar"
"him","nettsa"
"hindi","tahendit, tihendiyin"
"hindoustani","tahendustanit"
"hindrance","abran, ajin, ameccatul"
"hindu","ahendusi, ihendusiyen"
"hinduism","tahendusit"
"Hindustan","hindustan"
"his","imesli, seven"
"historian","amezray"
"historic","amazray"
"history","amezruy"
"hivernage","asigers"
"hoarse (to be)","ameklas"
"hoax","tashuft"
"holiday","anurszem, tesrih"
"holidays","anurz'em, inurz'am"
"holidays of motherhood","anurz'em n terbayt"
"Holland","huland"
"homage","tajmilt, tamayt"
"home","almessi"
"homeland","taferfant"
"homogeneity","tamsarit"
"homogeneous","amsari"
"honestly","ufenszay"
"honey","tammemt, tamment, turawt"
"honor","agemmir, asehru, aserhu, cciaa, iserha"
"honorary","aserhay"
"hood","aqelmun, asdel, isedlen"
"hoofed","asekran"
"hook","amextaf, imuxdhaf"
"hope","anaruz, asirem"
"horde","asra"
"horizon","iglan, igli"
"horizontal","aglawan, aglawi, aydir"
"horn","iccew, nnaqus, taselghut, tiselgha"
"horse","aaudiw, agemraw, agmar, ayyes"
"horsemanship","tanaka"
"horsewhip","isiwwet, isiwwten"
"hose","tasenfart"
"hospital","anahlay"
"hospitality","tasennubegt"
"hostage","akifel, tawaûûit, tiwuûûa"
"hostility","taâdawt"
"hot","ihma, irgha"
"hotel","asensu"
"hour","asrag, tamert, timar"
"house","axxam, tazeqqa, tigemmi"
"how","amek, mamek, mani"
"however","uregh, urghen"
"hubbub","dderdih, ssih"
"human","alsan, alsi"
"humanism","talsawit, talsawt"
"humanist","alsan, alsawi, anelsaw"
"humanity","talsa, talsiwin"
"humid","agrawi"
"humiliation","aseklel"
"humor","asaran"
"hundred","tawinest, tiwinas"
"hunger","lasz"
"hunter","agemmar, aseggad"
"hush!","ccet, susem"
"hybrid","aregna"
"hydraulic","imeswi, timeswa, timeswi"
"hydrocephaly","amnighef, imnighfen, tamnigheft, timnighfin"
"hydrochlorate","aklur'idr'at"
"hydrochloric acid","aklur'idri, iklur'idiriyen"
"hyena","iffis"
"hygiene","ughus"
"hygienic","aghsan"
"hymn","imseghraten, imseghret"
"hypocrite","ajaawan, amhur"
"hypothesis","turda"
"ice","agris, igersan, tamagrist"
"ice cube","tagrist"
"icy","anegras"
"idea","takti, tawengimt, tikta"
"ideal","aktayan, anektay, uktu"
"idealism","tamsuktut"
"idealist","aktawi, amsuktu, imsukta"
"identification","tasmagit"
"identified","tamagit"
"ideological","asnaktan, awsengim"
"ideology","tasnakta, tawsengimt, tisnukta"
"idleness","tifenyent"
"idol","adamum, amsemmud, imsemmad i negh"
"ignition","asaghay, asighi"
"ignoble","anebrur"
"ignorance","akuddel, tinnuzgha"
"illegitimate","acenti, akluc"
"illiterate","argemmay"
"illness","attan, lehlak, turna"
"illogical","armezz'ul, armezzul"
"illuminating","adlal"
"illuminator","amsedlal"
"illusion","ineghlan"
"illustration","asumen"
"imaginary","asugnan"
"imagination","tasugint"
"imitation","arwas, aswadh"
"imitative","arewsaw"
"imitator","areggas"
"immediate","udwal"
"immediately","bihfih, dindin, imird kan"
"imminent","aghudar"
"immobile","areggag"
"immobile (to be)","regg"
"immobility","tareggagt"
"impact","tammerwayt"
"imperative","anad', anadh, inatten, tasund'a, tisund'iwin"
"imperial","amenkad"
"imperialism","tamnukda, timnukdiwin"
"impetus","antag"
"impious","anmezray"
"implication","aselkem"
"implicit","udrig"
"import","ajbar, taktert, tiketrin"
"importance","tixutra, tixxutert"
"important","axatar"
"imported","imejber"
"importer","amaktar"
"importing","axatar, xater, xiter"
"impossible","anuggim, awezghi, awezghi, unszir"
"impostor","ahwadh, ahyad'"
"improvement","asilegh"
"improvisation","timenkadh"
"improviser","aneflalay"
"improviste","s usehwu"
"imprudent","behnes"
"impulse","ancay"
"impulsive","amnettaw"
"impulsiveness","tanettawt"
"in general","s umata"
"in spite of","ccil, ccil n"
"in spite of me","ccil-iw"
"in this case","adi, dgha"
"in vitro","g usnidi"
"in vivo","g tudert"
"inability","akrad, tagammit"
"inaccessible","agecraradh"
"inauguration","taszunszut, taz'unz'ut, tizunza"
"inca","inkasi, inkasiyen"
"incapable","akerdan, gammi"
"incense","idjawi"
"inclination","tameknanut"
"incline","ameknanu"
"incliner","knu"
"incognito","abnabak"
"incomplete","amennurf"
"increase","asiti, timerniwt"
"increment","iswar"
"indefinite","arbadu, irbuda"
"independence","azarug, izurag, timmunent"
"independent","imzireg, imzurag"
"index","amatar, isidder, isiddren"
"index list","tasmult"
"india","lhend"
"indian","ahendi, ihendiyen"
"indian of america","ahendi n temrikt"
"indianite","ameshendi, imeshendiyen"
"indication","amatar, asmal, imil"
"indicatory","asmul"
"indignant","amkur"
"indirect","arusrid"
"indiscretion","afatal"
"individual","amdan"
"individualization","asemdan"
"indo-aryan languages","ahendari, ihendariyen, tutlayin tihendar'iyin"
"indochina","tanducint"
"indo-chine","anducini, induciniyen"
"indo-european","ahendur'ufi, ihendur'ufiyen"
"indo-european languages","tutlayin tihendur'ufiyin"
"indo-gangetic plan","ahenduganji, azaghar ahenduganji"
"indonesia","indunisya"
"indonesian","indunisi, indunisiyen"
"indonesian language","tindunisit, tindunisiyin"
"indonesian languages","tutlayin tindunisiyin"
"induction","alway, aseghszen, aseglu, asmiwen, asmiwer, ismiwar"
"inductive","amalway, amelway"
"indulgence","amuzzu"
"industrial","amguran"
"industry","tamguri, timguryin"
"inefficient","abennan"
"ineligible","aramsur"
"inequality","tanmeglit, targadda"
"infant","unki"
"infantry","aragag, irugag"
"infantryman","aterras"
"inference","ismalen"
"inferiority","tamazdart"
"infinite","afd'i, ifdan, ifed, ifedh"
"infirm","akucam"
"influence","tazrirt"
"informant","amselghu, imselgha"
"information","isalan, isali, isallen, talghut, tilgha, umel"
"informational","anelghay"
"informative","aselghay"
"informer","asummal"
"infrastructure","taddaweskiwt"
"ingredient","igir"
"inheritance","takasit, tukkasin, tukkest"
"inhibition","aserken"
"initiation","actel, tactelt"
"initiative","tamezwarut"
"initiator","anectal"
"injury","aggas, aggas, aggasen"
"ink","aselmegh, ilegh, ilghan"
"inkpot","takebbatt"
"inn","asemyanu, azebriz, izebraz, semyuna"
"innate","agwneslul"
"innkeeper","azebraz"
"innocence","tamelsa"
"innocent","amelsi"
"innovation","assegni"
"insecticide","imsenger n yibeââac"
"insectivorous","amettci n yibeââac"
"inspection","taswett"
"inspector","amaswadh"
"inspiration","tahregt"
"inspired","amehrug"
"instability","tarkukitt"
"instinct","agnug"
"institution","tasudut"
"instruction","taknut"
"instrument","allal"
"insulation","anaazul"
"insurance","asenkid"
"insurer","asenkad"
"integration","aseghred"
"integrity","timmad"
"intellect","tayetti"
"intellectual","aggag, agzayan"
"intelligence","tigza, tigzi"
"intelligence quotient","anaqqas, anellay"
"intelligent","amegzu, imegza"
"intelligentsia","timegzi"
"intensity","tadwast"
"intensive","adewwas"
"intention","nneyya, nneyyat, tidmi"
"interaction","tanezzarirt"
"interdiction","tagdelt"
"interdisciplinarity","tingergemmunt"
"interest","nnfeâ, taghedhweft"
"interference","amsekcam"
"interim","imedza, imedzi"
"interior","agensan, agensu"
"interiorization","asudef"
"interjection","taghuyi, tighuya"
"intermediate","abusari"
"intermission","afer'di, aferdi, aggar"
"intern","agwensan"
"international","agraghlan"
"internet site","adeg n internet"
"interpersonnel","agrewrik"
"interpretation","asughel"
"interrelationship","tamaqqant"
"interrogative","amattar"
"interval","azig, azilal"
"intervening","ankeccam"
"intervention","tanekcimt"
"interview","adiwenni, tadiwennit"
"interviewee","amtur"
"intestinal","az'erman"
"intrigue","asemsi, taddist, tiddas, tiddest"
"intriguing","amalghad"
"intrinsic","umasan"
"introcution","tazwart"
"introduction","tazwart"
"introductory","azewran"
"introspection","tamayust"
"intuition","taleffut"
"invader","anebbaz"
"invariable","amezgi, armeskil"
"invasion","anbaz"
"invention","asnulfu, taseghnawt"
"inventory","asudden"
"inverse","imitti"
"investigation","tasestant"
"investigator","amestan"
"investment","amessirw, asrusu, asurs"
"invitation","adlagh, ancad, tinubga"
"inviter","ancad, inced, inecced, nced, ur incid"
"involvement","atsekki, tadrawt, tizra"
"iran","ir'an"
"iranian","ir'ani, ir'aniyen"
"iranian languages","tutlayin tir'aniyin"
"iraq","lâiraq"
"iraqian","aâiraqi, iâiraqiyen"
"ireland","irland"
"irish","irlandi, irlandiyen"
"irish language","tirlandit"
"iron","amsukku, imsukka, uzzal"
"irony","amuyed"
"irrational","armeghzan"
"irregular","arlugan"
"irrigation","aseswi, iseswa"
"is","agmudh"
"island","tigzirt"
"isme (suffix)","szrif"
"isolate","awlalwal"
"item","amagrad"
"it's a girl","d taqcict"
"ivory","uszer"
"jackal","uccen, wuccen"
"jacket","takebbud't"
"jail","takurmut, tikurmutin"
"january","yennayer"
"jar","acbali, acbayli"
"jaunt","ahewes, asara"
"jaw","aghesmar, amadel"
"jealous","amansam"
"jealousy","anasam, tismin"
"jewel","asghun"
"jewelry","taseghwant"
"joint","asusan, tasenghemt"
"joint bone","tawremt, tiwermin"
"joke","tamessedsut, timessedsa"
"jolt","angiggi"
"journalist","aneghmas, aneymas"
"journalistic","aghamsan"
"journey","amuddu, asikel, inig, inig"
"joy","amayeg, imuyag, tamendit, timenday"
"judaism","tuwdayt"
"judeo-christian","uwday-amasih'i, uwdayen-imasih'iyen"
"judge","anezzarfu, inezzurfa"
"judge of instruction","asestan"
"judgeable","uzrif"
"judgment","azaraf"
"judicial","aghedman"
"judiciary","tinneflas, tinneflest"
"juice","iszem, iz'em, izman"
"july","yulyu"
"jump","ajelleb, andar, aneggez"
"junction","asemlili"
"june","yunyu"
"just","ughdim"
"justice","aneghdam, taghdemt"
"justification","aseffukel"
"juvenile","amszusszey"
"juxtaposition","asertem"
"kabyle","agawaw, aqbayli, azwaw"
"Kabyle","Taqbaylit"
"kenya","kenya"
"kenyan","akenyan"
"key","tanalit, tasarut, tasaruts, tisura"
"key ring","tanalit, ti-yin"
"keyboard","anasiw"
"kidnapping","akafal"
"kid-swiss","takammart, takemmart"
"kikuyu","akikuyu, ikikuyuten"
"kikuyu language","takikuyut"
"kilogram","igmim"
"kind","tawsit, tiwsatin"
"kindness","tanafut, tinufa"
"king","agellid, igeldan i negh"
"kiosk","tahanuts"
"kirghiz","akirgizi, ikirgiziyen"
"kirghiz language","takirgizit"
"kit","talukat, tilukatin"
"kiwi","akiwi, ikiwiyen"
"knife","asmahed, imus, ismuhad, tafruyt, tajenwits"
"knit","amgiger, imgugar"
"knit of skin","amgiger n weksum"
"korea","kurya"
"korean","akuri, ikuriyen"
"korean language","takurit"
"kurdish","akurdi, ikurdiyen"
"kurdish language","takurdit"
"kurdistan","kurdistan"
"kyrgyzstan","kirgizistan"
"label","talettaght"
"labial","acenfar"
"laboratory","isnidi"
"labyrinth","aslellay"
"lacustrine","agelmam"
"lady","gathers, massaged, massawat"
"lagomorphic","agetlaw"
"lair","anzugh"
"lake","agelmim, amdun, tamda"
"lamb","izamaren, izimer"
"lamp","tisfiwt"
"lamper","sgwergwer"
"landing","asebded, isebdad"
"landscape","iz'ir"
"language","ilsawen, islands, tutlayt"
"language idiom","tameslayt, tutlayt"
"language organ","ilsawen"
"languages from Nilo","anili, iniliyen, tutlayin tiniliyin"
"large","abaraw, ahrawan, hraw"
"laryngeal","agerjaj"
"larynx","agerjuj"
"lash","ablaw"
"last","aneggaru"
"lasted","tanzagt"
"late","ameqqal, timess"
"latency","attam"
"latent","anettam"
"lateral","imidis"
"latin","alatini, ilatiniyen, talatinit"
"latin america","tamrikt talatinit"
"latin studies","ameslatini, imeslatiniyen"
"latinisation","aselten"
"latino","alatinu, ilatinuten"
"latino-american","alatinumarikani, ilatinumarikaniyen"
"latvia","litt'unya"
"latvian","alitt'uni, ilitt'uniyen"
"latvian language","talitt'unit"
"laudable","anzayan"
"lavabo","anarad"
"law","asad'uf, asadhuf, isudaf"
"lawn","affar, tamusayt"
"lawyer","anemzagh"
"layer for baby","tabessast"
"laziness","asunded"
"lazy","amessinded"
"leader","amalway"
"leadership","timelwi, timelwiyin"
"leaf","tiferka, tiferkit"
"leaf of paper","taferkit"
"league","tamghunt"
"leather","taserki, tiserkiyin"
"leaven","takaya"
"leek","tarnast"
"left","akabar, azelmadh, negh ikubar"
"leg","adhar, aqejjir, tamessad't, timesd'atin"
"legal","asad'af, azerfan"
"legislation","assenti"
"leisure","amzel, asetturs, imezlan"
"leitmotif","tamalust, timulas"
"lemon","tacemmimt"
"lender","aserd'al"
"length","teghwzi"
"less","udun"
"less…","udun n…"
"lesson","tamsirt"
"letter","asekkil"
"letter alphabet","asekkil"
"letter missive","tabrats"
"letters","tisekwla"
"level","aswir"
"lever","aghudid, ighudad"
"lexical","amawlan, awalan"
"lexicographer","awelnagh"
"lexicography","tawelnught"
"lexicon","tamawalt"
"liberal","alellam"
"liberalization","tasellulit"
"liberation","taslullit, tislulla"
"liberty","tilelli, tilelliyin"
"library","tamkardit, timkardhit, timkurda"
"lice","tilkets, tilkin"
"license","turagt"
"lid","abilet', ibilt'en, ireglen, irgel, irgel., tadimt"
"lid (1)","tasentut"
"lie","takerkust, tihillal, tikerkas"
"life","tameddurt, tudert"
"light","afessas, tafat, tifawt, tufut"
"lighter","inefdan, infed"
"light-gas","issigh"
"lighting","asfaw"
"lightness","tefses"
"lightning","lebraq, usem"
"likely","amedwal"
"likewise","iidel"
"limit","abadu"
"limp","tankult"
"limping","aqudar, arejdal, aridhal"
"line","ajerrid, izireg"
"linear","ajerrad'"
"lingual","alsi"
"linguist","amesnilsi, imesnilsiyen"
"linguistics","anetlay, asnilsi, isnilsiyen, tasnilsit, tisnilsiyin"
"linguistics (1)","tasnawalt"
"link","tamghunt"
"lion","ahar, ayrad, izem, izmawen"
"lip","acenfir, tacenfirt"
"lisp","azertel"
"list","umugh"
"listen","tasfelda, tisfeldiwin"
"listen to","asmuzget, tasfelda"
"listener","amseflid"
"literacy","asgemmay"
"literal","asekkal"
"literary","aseklan"
"literary man","aneskal"
"literature","tasekla, tisekliwin"
"lithuania","litwanya"
"lithuanian","alitwani, ilitwaniyen"
"little thick","azuh, cwits"
"lituanian language","talitwanit"
"liver","tasa"
"living","amuddir, amuder"
"lizard","aherbebbu, taballehlahtt"
"load","aggwa, taakwemt"
"loafer","tikrut"
"loan","arettal"
"local","adigan, aghiwnan"
"location","asdag"
"lodging","assemguru"
"log","taqejmurt, tifersit, tiq'jemyar"
"logical","amezz'ul, tameszla, tamez'la, timez'liwin"
"logical (1)","amesszul"
"lollipop","tasimumt"
"longitude","tazegrart"
"loose","amazdal"
"loot","aglaf"
"loss","alammu, arsadh, azella, idhuman, izellayen"
"lounge","tamesrit, tamesrit"
"lounge of honor","tamesrit userhu"
"love","aneglus, ineglas, lahmala, tayri, timhamelt, tiyra"
"lover","amaray, amesri, imesran"
"low","adda, addaten"
"low of it","ddaw"
"lower","amazdar"
"lowering","aseknu, asider"
"luck","agacur, amellil, asamma, asamma, s ugacur, s usamma, zhar"
"luckless","agarmusszel"
"luminous ray","azenzar"
"lunatic","kuffed"
"lung specialist","amejjay n turin"
"lure","ashuf"
"luxury","alamegh, ilumagh"
"machine","asemmaru"
"machine to wash","asirad, yicettiden"
"macro cephalic","imgherghef, imgherghfen"
"macrocephalous","tamghergheft, timgherghfin"
"mad","abuhal, aderwic, amsudh"
"madagascar","madagascar"
"madman","ala, alaten"
"madness","tidderwct tibuhelt"
"magazine","tasghunt"
"magic","ihergin"
"magician","imhergi"
"magistrate","aneflus, ineflas"
"mail","izen, iznan"
"main","amenzawi"
"maintenance","tamettuft"
"majority","agtayan, ticcemt, tigta, tigti, tigwti"
"make the impostor","assehyed'"
"makes","amsir"
"makeup","asbagh, azrir, azriri, izriran"
"make-up artist","amezrar, amezrir"
"malagasy","amalgaci, imalgaciyen"
"malagasy language","tamalgacit"
"malaysia","malizya"
"malaysian","amalizi, imaliziyen"
"malaysian language","tamalizit"
"male","awtem, iwetmen"
"malediction","daawessu"
"mali","mali"
"mallow","tibi"
"malta","malt'a"
"malted","amalt'i, imalt'iyen"
"malted language","tamalt'it"
"man","argaz"
"man (species)","ales, amdan"
"man of escort","imneggef, imneggfen"
"man species","ilsan"
"management","aggwad, asefrek, isefrak"
"maneuver","tafelfest, tifelfas"
"manger","abughlu"
"mango","amangu, imanguten"
"manifest","ameskan"
"manipulation","akellex, asenduddi"
"manner","taghara"
"manual","awfus"
"manure","agudu, amazir"
"manuvrer","muddu"
"march","meghres"
"marched","amsudegh"
"margin","tama, timiwa"
"marginal","amawan"
"marine","awlal, tagriwa, tagriwyin"
"marital","aslawi"
"market","ulzuz"
"marriage","iwel, tissulya, tissulyiwin, zwadj"
"married","isli ée (islan), tislit (tislatin)"
"marrow","adif, aduf"
"martial art","taz'uri tamgarant"
"martyr","ameghras"
"marxism","timmar'ksit"
"masculine","amalay, awtem"
"mash","aberkuc"
"mask","asfur"
"mason","ames'kaw"
"mass people","agdud"
"mass-media","alghagdud"
"master","akerwa"
"mastery","adhdhaf"
"mastigator","tisifez't, tisufaz"
"masturbation","adakman, tadakumt"
"match","amsaghay, luqid, tat'erqact, times"
"material","angaw, angawi, arrum"
"materialism","tangez'ri, tingez'ra"
"materialistic","ingez'ra, ingez'ri"
"mathematical","tusnakt, usnak"
"mathematician","amusnak"
"matrix","asirew, isirew, isirwan"
"matter","tanga, tangiwin"
"mattress","timd'errebt, timderrbin"
"mature","nszesz, unszisz"
"maturity","anszasz"
"mausoleum","taqubbetts"
"maxillary","aghermari"
"maximum","afellay"
"may","maggu, magu, mayu"
"mayonnaise","tah'lalayt"
"mayor","amghiwan"
"me","nekk, netctc, ula d nekk"
"meal","imekli, tanalt, tanfast"
"mealy","agilan"
"mean","amcum"
"means","allal"
"measles","tabuzeggwaght"
"measure","akat"
"measure-ribbon","asarakat"
"medal","tazalghi, tizalghiwin"
"mediator","abdammas"
"medical","ujjyan"
"medical regime","agal"
"medicine","asafar, isufar, tujjya, tujjyiwin"
"mediterranean sea","agrakal, ilel"
"meeting","amlala, amuggar, timlilit"
"melon","abettix, afeqqus, agan"
"member","amaslad, amasladh"
"member of a symposium","amedraw"
"memorandum","tallalt n umekti"
"memory","takatawt, takatut, tikatutin, timektit"
"men","argaz, irgazen"
"mental","anellay"
"mentality","tanellayt"
"mercenary","ajuji"
"merchandise","alzaz"
"merchant","amzenzi, amzenzu, imzenza"
"mercy","tamella"
"merit","amerkid, arur, taklalit"
"mess","arway, tametruyt, tamterwit"
"message","izen"
"messenger","amahat, amazun, amnizzen, imceggaa, imuzan"
"metaphysics","tadfergama"
"meter","amsidhen"
"method","tarrayt"
"methodical","anarray"
"micro cephalous","imz'ighef, imz'ighfen"
"micro phonic","asawd'an"
"microbe","amz'uder, imzudren"
"microcephalous","timz'igheft, timz'ighfin"
"microphone","asawad'"
"microwave oven","atnur amikrumdeswal"
"middle teaching","alemmas, almud"
"midwife","tamessirut"
"military","aserdas, aserdasi, tamuddut, timudda"
"military basis","abud' aserdasi"
"military draft","amez'lu aserdasi"
"militating","amaghnas, ameghnas"
"milk","ayefk, ayefki, ikil"
"milking machine","tiz'iz'egt, tizizgin"
"mill","azerg, tahant, tissirt"
"millennial","amagim"
"milligram","amiligr'am"
"million","amelyun"
"millionaire","amilyunir'"
"millstone","ighuraf, tahunt"
"mind","anelli, idir"
"mine","amghiz"
"minimal","adday"
"mini-market","tansught"
"minimum","adday"
"minister","aneghlaf"
"ministerial","aghelfan, aselkam"
"ministry","aghlif, ighelfan"
"ministry of finance","tiszraf"
"minority","tadersi"
"minute","tamrect, timercin"
"miracle","tamkerra, timkerriwin"
"mire","ixmir"
"mirror","lemri, taz'erdeffirt"
"mischief","lehraca"
"miser","amechah, itscuhhu"
"miserable","agacur"
"misfortune","armusszel, tawaghit"
"miss","tamsiwt"
"mission","tughdad't, tughdadin, tughdatt"
"missionary","ameghdad, ameghdadh"
"mistake","agul, azgal, taniwit, taniwit"
"mistaken","talekkwamt"
"misterious","imedrag, imedreg"
"mixture","aruggay"
"model","aknar"
"modern","atrar"
"modernity","tatrara, titrariwin"
"modesty","akrukkedh"
"mold","asenghal"
"monarchy","tagelda, tigeldiwin"
"monday","arim, letnayen"
"monetary","aqardan"
"money","akarid, az'ref, idrimen, ikariden, tadrimt"
"mongol","amunguli, imunguliyen, khalkha, tamungulit, taxalxat"
"mongol language","tamungulit, taxalxat"
"mongolia","mungulya"
"monkey","abkawi, ibki, iddew"
"monolinguism","tanutlayt"
"monster","amsziw"
"monstrous","anemz'aw"
"month","aggur, ayur, tallit"
"monthly","amsaggur"
"mood","anecrah, necraha"
"moon","aggur, ayur"
"moonlight","haziri, taziri, tiziri"
"mop","tah'elfunt"
"more that","ugar"
"morning","tanekra n wass, tifawt, tufat"
"mosque","tamesgida, timesgidawin"
"mosquito","nnamus, tadast, tidassin, tizits"
"moss","akuffet, takuffi"
"mother","tayemmats, yemma"
"mouflon","awdad"
"mound","tawrirt, tighilt"
"mountain","adra, adrar, ari, idurar, udrar"
"mountainous","amedrar"
"mourning","tasnit, tisenyin"
"mouse","agherda, amumad"
"mouse of computer","tagherdayt"
"mouth","akemmu, aqemmuc, imi"
"movement","amussu, imussa"
"movie","asaru, isura"
"movies","asarug"
"mr.","akerwa"
"mud","alud, alud', tixmirt"
"muffler","akarzay"
"mule","aserdun"
"multilingual","agtutlay"
"multilingualism","tagtutlayt"
"multimillionaire","amilyar'dir'"
"multiplication","akfud, ikfad"
"multiplier","anekfad"
"mummy","amtul"
"murder","ad'lib, adhlib, inighan, inighi, tineghyin, tinghi"
"murderous","anghayan"
"muscular","amaz'wali"
"museum","asalay"
"mushroom","agersal"
"music","aszawan"
"musical","alghan"
"musical varieties","tinedwa"
"mustaches","claghem, imeswan"
"mutation","tad'ermist, tadhermist"
"mute","agugam, ggugem"
"mutual","amsemmeksal, tamilalt"
"muzzle","taghamut, takwmamt"
"mysterious","imedreg"
"mystery","adrug"
"mystification","asghafes"
"myth","umyi"
"mythology","tumgisent"
"nahuatl language","tanahwatlt, taztikit"
"nail","accaren, amesmar, iccer"
"naive","abekkuc, abekkuc, abuneyyiw, abuneyyiw, amennay, neyya, nneyya, nneyya"
"naked","aarri, aaryan, amazuf, zzuzef"
"name","isem, nekwa"
"nasal","aneghnagh"
"nasty","ucmit"
"nation","aghlan"
"national","aghelnaw"
"national populism","taghelnaz'ri-tamsagdud't"
"national populist","aghelnaz'ri amsagdud"
"nationalism","taghelnaszri, taghelnaz'ri, tighelnaz'riwin"
"nationalist","aghelnaszri, aghelnaz'ri"
"nationality","taghlent, tighelnin"
"nationalization","aseghlen, aseghlen, iseghlan"
"national-socialism","taghelnaz'ri-tanemlit"
"national-socialist","aghelnaz'ri-anemlay, anazi, inaziyen, inaziyen"
"native","asrew"
"nattier","agertal"
"nature","agama, i-ten, taganin, tagant"
"naturel","agmawi, tamagant"
"naval","asilal"
"navel","tabutut, tacabutt, timitt"
"nazism","tanazit"
"nearly","amzun"
"necessary","ad'ulli, adhulli"
"necessity","tad'ullit, tid'ullyin"
"neck","tamgartt"
"necklace","azrar, taqlatt, tazra, tizerwa, tizuleg"
"need","assar"
"needle","tasszelt, tisegnit"
"negation","tibawt"
"negative","iba, ibaw"
"negativism","tibaweszret"
"negligible","awziz"
"negotiating","amastag"
"neighbor","anarag, idjar"
"nepal","nipal"
"nepalese","anipali, inipaliyen"
"nepalese language","tanipalit"
"nephrologists","amejjay n tgezz'al"
"nerve","asur"
"nervous","amarfu, ansur"
"nest","isekki"
"netherlands","timura n wadda"
"network","aszetta"
"neutral","arawsan"
"neutrality","tarawsa"
"new","amaynut"
"new wales of the south","tamurt n yigaliyen n wenz'ul"
"newborn","azzaz"
"news","isali, tullizt"
"newspaper","aghmis"
"newspapers","taghemsa, tighemsiwin"
"night","idh"
"nine","amaynut, tsza, tz'a, tz'at"
"nipple","agemmun"
"no one","amdan, tawrikt, udem, udmawen"
"nobility","tihhugra, tihhugriwin"
"noble","ahaggar"
"noise","adida, ahit, ahiten, szdih"
"norm","tagnut"
"normal","amagnu, imugna"
"normalization","asmagnu"
"north","agafa"
"north africa","tafriqt n ugafa"
"north america","tamrikt n ugafa"
"north korea","kurya n ugafa, kurya n ugafa"
"northern","agfawi, amesgafa, i-yen, imesgafaten"
"norway","nur'wij"
"norwegian","anur'wiji, inur'wiyiyen"
"norwegian language","tanur'wijit"
"nose","aghendjur, anzaren"
"nostalgia","tamdanit, timdanyin"
"nostalgic","amdamay"
"nostril","tinzart"
"not long ago","zik ngum"
"notarized act","arra, arraten"
"notation","pulled"
"note","amghur, tazmilt, tirawt"
"note of exam","tazmilt"
"notebook","alug, ilaggwen, tattaftart"
"nothing","acemma, acemmek, ulac"
"notion","tamidhrant"
"novel","ar'uman, ir'umanen, ungal"
"novelist","aneggal"
"november","nwember'"
"now","tura"
"number","amd'an, amdhan, azwil, izil, uttun"
"numbering","asdhen"
"numeral","amed'naw"
"numeric","anettun"
"nursing","asuttedh"
"nutcracker","taserz'ut, tiserz'a"
"nylon","anilun"
"oak","akerruc"
"oasis","amda, anemday, imedwen"
"oath","tagallit"
"obedience","asegd, tulelt"
"object","taghawsa, talgha"
"objection","tasentilt, tisental"
"objective","ahennu, amesgharu, imesghura"
"objectivity","tamesghara, timesghariwin"
"obligation","azuccel"
"obliteration","isir"
"oblivion","tamettawet, tatut"
"obscurantism","aserdel"
"observation","annay"
"observatory","asanay, asannay"
"observer","amanay"
"obstacle","tasiweght, unjug"
"obstinate","amandad"
"obvious","amunu"
"occasional","alemmaz'"
"occitan","tuksitanit, uksitani, uksitaniyen"
"occupation","aweszlu"
"ocean","agaraw"
"oceania","tukyanust"
"oceanian","ukyanusi, ukyanusiyen"
"oceanic","agarwan"
"oceanographer","amesgaraw, amesnagraw"
"oceanologic","asnagraw"
"oceanology","tasnagrawt"
"october","to tube'"
"odd","aryugan"
"of the military marine","amanaw"
"of the situation","amsagni, imsagniyen"
"offended","ikmumec, imunnedh"
"offense","tirmeggit, tirmeggiyin"
